Object,Time Step,Instance ID,Name,Layer,Coordinates,CPU,RAM,Disk,Request Load,CPU Util,Energy,Total Requests,Avg Delay,Avg Net Delay,Avg Proc Delay
CloudServer_1,0,1,Cloud,cloud,"[0, 0]",20000,128000,200000,0,0.0,0.0,0,0.0,0.0,0.0
CloudServer_1,1,1,Cloud,cloud,"[0, 0]",20000,128000,200000,2493,0.11871428571428572,2.4930000000000003,4,10.00062325,10.0,0.0006232499999999689
CloudServer_1,2,1,Cloud,cloud,"[0, 0]",20000,128000,200000,4003,0.19061904761904763,4.003,8,10.000500375,10.0,0.000500374999999975
CloudServer_1,3,1,Cloud,cloud,"[0, 0]",20000,128000,200000,5266,0.25076190476190474,5.266000000000001,10,10.0005266,10.0,0.0005265999999999737
CloudServer_1,4,1,Cloud,cloud,"[0, 0]",20000,128000,200000,8811,0.4195714285714286,8.811000000000002,14,11.072057928571429,11.071428571428571,0.0006293571428571113
CloudServer_1,5,1,Cloud,cloud,"[0, 0]",20000,128000,200000,10043,0.47823809523809524,10.043000000000001,18,11.667224611111113,11.666666666666666,0.0005579444444444165
CloudServer_1,6,1,Cloud,cloud,"[0, 0]",20000,128000,200000,11972,0.5700952380952381,11.972000000000003,22,12.045998727272728,12.045454545454545,0.000544181818181791
CloudServer_1,7,1,Cloud,cloud,"[0, 0]",20000,128000,200000,12955,0.616904761904762,12.955000000000004,25,12.000518199999998,12.0,0.0005181999999999741
CloudServer_1,8,1,Cloud,cloud,"[0, 0]",20000,128000,200000,14786,0.7040952380952381,14.786000000000005,28,11.964813785714284,11.964285714285714,0.0005280714285714022
CloudServer_1,9,1,Cloud,cloud,"[0, 0]",20000,128000,200000,16137,0.7684285714285715,16.137000000000004,31,11.774714096774192,11.774193548387096,0.0005205483870967482
CloudServer_1,10,1,Cloud,cloud,"[0, 0]",20000,128000,200000,18142,0.863904761904762,18.142000000000003,34,11.618180647058821,11.617647058823529,0.000533588235294091
CloudServer_1,11,1,Cloud,cloud,"[0, 0]",20000,128000,200000,20195,0.9616666666666667,20.195,37,11.487032297297295,11.486486486486486,0.0005458108108107835
CloudServer_1,12,1,Cloud,cloud,"[0, 0]",20000,128000,200000,21626,1.0,21.626,40,11.50054065,11.5,0.000540649999999973
CloudServer_1,13,1,Cloud,cloud,"[0, 0]",20000,128000,200000,22177,1.0,22.177,43,11.628422720930232,11.627906976744185,0.0005157441860464859
CloudServer_1,14,1,Cloud,cloud,"[0, 0]",20000,128000,200000,24055,1.0,24.055,47,11.5962564893617,11.595744680851064,0.0005118085106382724
